v_in,v_out
0.61,0.0
0.7177272727272728,0.0
0.8254545454545454,0.01
0.9331818181818181,0.0
1.040909090909091,0.0
1.1486363636363635,0.0
1.2563636363636363,0.0
1.3640909090909092,0.0
1.4718181818181817,0.01
1.5795454545454546,0.0
1.687272727272727,0.02
1.795,0.07
1.9027272727272728,0.15
2.0104545454545453,0.25
2.118181818181818,0.23
2.225909090909091,0.42
2.3336363636363635,0.53
2.4413636363636364,0.6
2.549090909090909,0.7
2.6568181818181817,0.81
2.764545454545454,0.9
2.872272727272727,0.99
2.98,1.06
