t,N1,N2,N3
4,8,20,26
8,10,20,24
12,12,17,20
16,8,18,26
20,11,15,24
24,8,22,30
28,13,16,18
32,7,28,19
36,10,17,30
40,15,21,26
44,9,21,37
48,103,15,24
52,366,17,56
56,368,306,337
60,287,313,326
64,278,318,340
68,292,324,302
72,270,268,318
76,242,253,252
80,246,272,239
84,208,247,212
88,230,252,224
92,194,216,206
96,220,203,183
100,222,217,213
104,187,230,181
108,162,186,185
112,173,160,194
116,160,159,155
120,143,152,140
124,124,184,148
128,149,153,132
132,126,134,144
136,102,121,164
140,110,127,131
144,110,119,121
148,116,124,102
152,107,105,115
156,105,106,98
160,83,96,105
164,106,119,106
168,106,101,87
172,70,108,88
176,87,78,76
180,75,71,66
184,69,86,78
188,69,71,63
192,74,71,62
196,67,77,59
200,48,66,60
204,64,61,70
208,62,50,74
212,50,66,71
216,42,56,63
220,32,62,55
224,58,62,54
228,50,54,62
232,37,47,55
236,40,43,36
240,43,46,57
244,38,52,68
248,40,40,51
252,50,43,50
256,44,44,52
260,36,49,43
264,35,46,37
268,46,36,39
272,32,43,40
276,21,38,34
280,37,47,33
284,23,36,33
288,24,42,38
292,30,49,36
296,26,31,42
300,26,43,29
304,28,31,29
308,35,30,36
312,36,35,27
316,32,35,36
320,24,32,26
324,18,41,42
328,31,29,33
332,28,29,40
336,27,24,33
340,23,27,29
344,19,26,33
348,21,35,43
352,31,31,25
356,26,23,28
360,22,19,48
364,17,30,24
368,29,34,35
372,26,31,32
376,19,26,29
380,18,25,32
384,20,20,36
388,25,30,30
392,13,27,28
396,23,25,35
400,16,27,27
404,20,23,30
408,8,23,26
412,28,25,31
416,8,12,32
420,21,23,25
424,12,18,27
428,16,23,27
432,13,22,43
436,15,20,35
440,8,26,22
444,23,16,24
448,14,25,26
452,13,23,29
456,17,23,29
460,31,28,23
464,16,22,23
468,16,19,30
472,12,28,29
476,18,29,30
480,11,21,28
484,17,34,26
488,20,21,21
492,17,26,26
496,15,24,30
500,19,22,28
504,16,27,27
508,22,27,30
512,16,28,35
516,15,24,26
520,18,28,22
524,12,30,25
528,16,21,32
532,27,23,24
536,15,23,18
540,21,27,24
544,17,28,22
548,19,19,32
552,18,34,25
556,10,25,28
560,14,21,18
564,16,18,29
568,17,20,25
572,17,16,21
576,18,23,23
580,17,31,22
584,17,18,29
588,15,30,24
592,20,24,29
596,20,24,28
600,19,31,31
